total_rounds_played,balance,kills_total,deaths_total,assists_total,damage_total,current_equip_value,team_rounds_total,team_clan_name,tick,steamid,name
19,2750,12,15,2,1107,5100,8,Team Vitality,165741,76561197989744167,apEX
19,3250,9,14,5,1501,5600,8,Team Vitality,165741,76561197978835160,flameZ
19,250,14,12,4,1421,2900,11,3DMAX,165741,76561198045739761,Maka
19,800,10,13,3,1407,4900,8,Team Vitality,165741,76561197991272318,ropz
19,1150,20,12,5,2014,500,11,3DMAX,165741,76561198168198200,Ex3rcice
20,2200,14,11,9,1696,200,11,3DMAX,173757,76561198031890115,Lucky
20,2200,15,14,2,1477,200,11,3DMAX,173757,76561198179538505,Graviti
20,2000,17,14,3,1945,5100,9,Team Vitality,173757,76561197973140692,mezii
20,300,19,12,3,2113,5100,9,Team Vitality,173757,76561198113666193,ZywOo
20,1900,5,18,3,734,200,11,3DMAX,173757,76561198047876970,Djoko
20,1100,12,16,2,1107,5100,9,Team Vitality,173757,76561197989744167,apEX
20,3500,11,14,5,1662,5600,9,Team Vitality,173757,76561197978835160,flameZ
20,2550,15,13,4,1521,200,11,3DMAX,173757,76561198045739761,Maka
20,3450,10,13,3,1407,5100,9,Team Vitality,173757,76561197991272318,ropz
20,1950,20,13,5,2014,400,11,3DMAX,173757,76561198168198200,Ex3rcice
21,0,16,11,9,1766,5600,11,3DMAX,180716,76561198031890115,Lucky
21,50,15,15,3,1544,4750,11,3DMAX,180716,76561198179538505,Graviti
21,4600,17,14,3,1945,5100,10,Team Vitality,180716,76561197973140692,mezii
21,3500,19,12,3,2113,5100,10,Team Vitality,180716,76561198113666193,ZywOo
21,2100,5,18,4,797,5700,11,3DMAX,180716,76561198047876970,Djoko
21,3700,12,16,2,1107,5100,10,Team Vitality,180716,76561197989744167,apEX
21,2700,13,15,5,1907,5100,10,Team Vitality,180716,76561197978835160,flameZ
21,3000,15,13,4,1521,4850,11,3DMAX,180716,76561198045739761,Maka
21,2050,10,14,3,1415,5100,10,Team Vitality,180716,76561197991272318,ropz
21,100,20,14,5,2014,4450,11,3DMAX,180716,76561198168198200,Ex3rcice
22,1600,16,11,9,1808,5600,11,3DMAX,193143,76561198031890115,Lucky
22,600,15,16,3,1544,3800,11,3DMAX,193143,76561198179538505,Graviti
22,3200,17,15,4,1975,5100,11,Team Vitality,193143,76561197973140692,mezii
22,2400,19,13,3,2114,5100,11,Team Vitality,193143,76561198113666193,ZywOo
22,800,5,18,5,849,5800,11,3DMAX,193143,76561198047876970,Djoko
22,2300,12,17,2,1107,5100,11,Team Vitality,193143,76561197989744167,apEX
22,5400,15,15,5,2080,5100,11,Team Vitality,193143,76561197978835160,flameZ
22,100,18,14,4,1775,6700,11,3DMAX,193143,76561198045739761,Maka
22,5150,11,14,3,1515,5100,11,Team Vitality,193143,76561197991272318,ropz
22,100,20,15,5,2033,5050,11,3DMAX,193143,76561198168198200,Ex3rcice
23,1350,18,11,9,2008,6000,12,3DMAX,202083,76561198031890115,Lucky
23,150,15,17,4,1605,5900,12,3DMAX,202083,76561198179538505,Graviti
23,0,18,16,4,2003,5100,11,Team Vitality,202083,76561197973140692,mezii
23,900,19,14,4,2194,5600,11,Team Vitality,202083,76561198113666193,ZywOo
23,1650,6,19,5,971,5800,12,3DMAX,202083,76561198047876970,Djoko
23,0,12,18,2,1147,3900,11,Team Vitality,202083,76561197989744167,apEX
23,100,15,16,5,2080,4200,11,Team Vitality,202083,76561197978835160,flameZ
23,750,19,14,4,1875,7550,12,3DMAX,202083,76561198045739761,Maka
23,1750,12,15,3,1614,5100,11,Team Vitality,202083,76561197991272318,ropz
23,250,21,15,5,2050,5250,12,3DMAX,202083,76561198168198200,Ex3rcice
